SpellId,Name,CastingTime,Range,V,S,M,Duration,Concentration,Level,School
292,Shapechange,1 Action,Self,1,1,jade circlet worth at least 1500gp,up to 1 hour,1,9,transmutation
293,Shatter,1 Action,60 ft,1,1,chip of mica,instantaneous,0,2,evocation
294,Shield,1 reaction,Self,1,1,,1 round,0,1,abjuration
295,Shield of Faith,1 bonus action,60 ft,1,1,a small parchment with a bit of holy text,up to 10 minutes,1,1,abjuration
296,Shillelagh,1 bonus action,touch,1,1,"mistletoe, shamrock leaf, and a club or quarterstaff",1 minute,0,0,transmutation
297,Shocking Grasp,1 Action,Touch,1,1,,instantaneous,0,0,evocation
298,Silence,1 Action,120 ft,1,1,,up to 10 minutes,1,2,illusion
299,Silent Image,1 Action,60 ft,1,1,bit of fleece,up to 10 minutes,1,1,illusion
300,Simulacrum,12 hours,Touch,1,1,"snow or ice in sufficent quantity, some hair, fingernail clippings, and a powdered ruby worth 1500gp, consumed",until dispelled,0,7,illusion
301,Sleep,1 Action,90 ft,1,1,"pinch of fine sand, rose petals, cricket",1 minute,0,1,enchantment
302,Sleet Storm,1 Action,150 ft,1,1,pinch of dust and a few drops of water,up to 1 minute,1,3,conjuration
303,Slow,1 Action,120 ft,1,1,drop of molasses,up to 1 minute,1,3,transmutation
304,Spare the Dyhing,1 Action,Touch,1,1,,instantaneous,0,0,necromancy
305,Speak with Animals,1 Action,Self,1,1,,10 minutes,0,1,divination
306,Speak with Dead,1 Action,10 ft,1,1,burning incense,10 minutes,0,3,necromancy
307,Speak with Plants,1 Action,Self,1,1,,10 minutes,0,3,transmutation
308,Spider Climb,1 Action,Touch,1,1,drop of bitumen and a spider,up to 1 hour,1,2,transmutation
309,Spike Growth,1 Action,150 ft,1,1,seven sharp thorns or seven small twigs (sharpened),up to 10 minutes,1,2,transmutation
310,Spirit Guardians,1 Action,Self,1,1,a holy symbol,up to 10 minutes,1,3,conjuration
311,Spiritual Weapon,1 bonus action,60 ft,1,1,,1 minute,0,2,evocation
312,Staggering Smite,1 bonus action,Self,1,0,,up to 1 minute,1,4,evocation
313,Stinking Cloud,1 Action,90 ft,1,1,rotten egg or several skunk cabbage leaves,up to 1 minute,1,3,conjuration
314,Stone Shape,1 Action,Touch,1,1,"soft clay, which must be worked into roughly the desired shape",instantaneous,0,4,transmutation
315,Stoneskin,1 Action,Touch,1,1,"diamond dust worth 100gp, consumed",up to 1 hour,1,4,abjuration
316,Storm of Vengeance,1 Action,Sight,1,1,,up to 1 minute,1,9,conjuration
317,Suggestion,1 Action,30 ft,1,0,snake's tongue and either a bit of honeycomb or a drop of sweet oil,up to 8 hours,1,2,enchantment
318,Sunbeam,1 Action,Self,1,1,magnifying glass,up to 1 minute,1,6,evocation
319,Sunburst,1 Action,150 ft,1,1,fire and a piece of sunstone,instantaneous,0,8,evocation
320,Swift Quiver,1 bonus action,Touch,1,1,quiver containing at least piece of ammunition,up to 1 minute,1,5,transmutation
321,Symbol,1 minute,Touch,1,1,"mercury, phosphorus, and powdered diamond and opal worth 1000gp, consumed",until dispelled or triggered,0,7,abjuration
322,Tasha's Hideous Laughter,1 Action,30 ft,1,1,tiny farts and a feather that is waved in the air,up to 1 minute,1,1,enchantment
323,Telekinesis,1 Action,60 ft,1,1,,up to 10 minutes,1,5,transmutation
324,Telepathy,1 Action,Unlimited,1,1,a pair of linked silver rings,24 hours,0,8,evocation
325,Teleport,1 Action,10 ft,1,0,,instantaneous,0,7,conjuration
326,Teleportation Circle,1 minute,10 ft,1,0,"rare  chalks and inks infused with gems worth 50 gp, consumed",1 round,0,5,conjuration
327,Tenser's Floating Disk,1 Action,30 ft,1,1,drop of mercury,1 hour,0,1,conjuration
328,Thaumaturgy,1 Action,30 ft,1,0,,up to 1 minute,0,0,transmutation
329,Thorn Whip,1 Action,30 ft,1,1,stem of plant with thorns,instantaneous,0,0,transmutation
330,Thunderous Smite,1 bonus action,Self,1,0,,up to 1 minute,1,1,evocation
331,Thunderwave,1 Action,Self,1,1,,instantaneous,0,1,evocation
332,Time Stop,1 Action,Self,1,0,,instantaneous,0,9,transmutation
333,Tongues,1 Action,Touch,1,0,small clay model of a ziggurat,1 hour,0,3,divination
334,Transport Via Plants,1 Action,10 ft,1,1,,1 round,0,6,conjuration
335,Tree Stride,1 Action,Self,1,1,,up to 1 minute,1,5,conjuration
336,True Polymorph,1 Action,30 ft,1,1,"a drop of mercury, dollop of gum arabic, and a wisp of smoke",up to 1 hour,1,9,transmutation
337,True Resurrection,1 hour,Touch,1,1,sprinkle of holy water and diamonds worth at least 25000gp,instantaneous,0,9,necromancy
338,True Seeing,1 Action,Touch,1,1,an ointment for the eys that cost 25 gp,1 hour,0,6,divination
339,Tsunami,1 minute,Sight,1,1,,up to 6 rounds,1,8,conjuration
340,Unseen Servant,1 Action,60 ft,1,1,bit of string and of wood,1 hour,0,1,conjuration
341,Vampiric Touch,1 Action,Self,1,1,,up to 1 minute,1,3,necromancy
342,Vicious Mockery,1 Action,60 ft,1,0,,instantaneous,0,0,enchantment
343,Wall of Fire,1 Action,120 ft,1,1,a small piece of phosphorus,up to 1 minute,1,4,evocation
344,Wall of Force,1 Action,120 ft,1,1,pinch of powder made by crushing a clear gemstone,up to 10 minutes,1,5,evocation
345,Wall of Ice,1 Action,120 ft,1,1,small piece of quarts,up to 10 minutes,1,6,evocation
346,Wall of Stone,1 Action,120 ft,1,1,small block of granite,up to 10 minutes,1,5,evocation
347,Wall of Thorns,1 Action,120 ft,1,1,handful of thorns,up to 10 minutes,1,6,conjuration
348,Warding Bond,1 Action,Touch,1,1,a pair of platinum rings worth 50 gp,1 hour,0,2,abjuration
349,Water Breathing,1 Action,30 ft,1,1,short reed or piece of straw,24 hours,0,3,transmutation
350,Water Walk,1 Action,30 ft,1,1,piece of cork,1 hour,0,3,transmutation
351,Web,1 Action,60 ft,1,1,bit of spiderweb,up to 1 hour,1,2,conjuration
352,Weird,1 Action,120 ft,1,1,,up to 1 minute,1,9,illusion
353,Wind Walk,1 minute,30 ft,1,1,fire and holy water,8 hours,0,6,transmutation
354,Wind Wall,1 Action,120 ft,1,1,tiny fan and a feather of exotic origin,up to 1 minute,1,3,evocation
355,Wish,1 Action,Self,1,0,,instantaneous,0,9,conjuration
356,Witch Bolt,1 Action,30 ft,1,1,twig from a tree that has been struck by lightning,up to 1 minute,1,1,evocation
357,Word of Recall,1 Action,5 ft,1,0,,instantaneous,0,6,conjuration
358,Wrathful Smite,1 bonus Action,Self,1,0,,up to 1 minute,1,1,evocation
359,Zone of  Truth,1 Action,60 ft,1,1,,10 minutes,0,2,enchantment
